Classification,upper_north_sp,upper_west_sp,upper_south_sp,upper_east_sp,shroud_north,shroud_west,shroud_south,shroud_east,shroud_north_pst1hr,shroud_west_pst1hr,shroud_south_pst1hr,shroud_east_pst1hr,upper_west_zone,upper_north_zone,upper_east_zone,upper_south_zone,OAT,OAT_pst1hr,pressure_station,wind_speed,relative_humidity,max_air_temp_pst1hr,min_air_temp_pst1hr
HOT,140,103.9867,140,140,53.86323,55.72298,55.45493,55.61295,52.63066,54.14399,53.89264,54.32201,69.77488,68.93304,68.07609,69.36263,54.6583,53.45108,100.51,26,96,57.74,56.12
HOT,140,103.4667,140,140,54.46159,56.02979,56.07314,55.91978,52.938,54.76327,54.51225,54.6692,69.92787,69.06111,68.26038,69.37167,55.284,54.0493,100.51,26,96,57.74,56.12
HOT,140,110.5086,140,140,54.75934,56.32729,56.07314,56.23583,53.23977,54.76327,54.51225,54.98661,69.9048,69.1276,68.04702,69.28085,55.284,54.0493,100.51,26,96,57.74,56.12
HOT,140,103.4667,140,140,55.06239,56.32329,56.38886,56.54618,55.06239,56.62971,56.38886,56.5509,70.21512,69.39357,68.77213,69.93705,55.91829,55.91829,100.46,21,97,57.92,57.56
HOT,140,140,140,140,53.1832,55.04256,55.1813,57.29527,51.96109,53.47068,53.6291,55.30542,69.53983,68.40522,67.77979,69.12553,54.21007,53.60658,101.09,8,87,55.04,54.32
HOT,140,140,140,140,54.10532,56.29292,56.10175,58.21301,53.49303,55.3601,55.48758,57.28568,69.91178,68.93322,68.52863,69.71377,54.52707,54.21007,101.09,8,86,55.76,55.04
HOT,140,116.908,135.0407,140,54.71436,57.866,57.61142,59.73912,54.10532,56.94862,56.4014,58.53699,70.03339,69.37814,68.92728,70.05946,55.73803,54.82811,101.13,4,86,56.48,55.58
HOT,140,116.908,135.0407,140,54.71436,57.866,57.61142,59.73912,54.10532,56.94862,56.4014,58.53699,70.03339,69.37814,68.92728,70.05946,55.73803,54.82811,101.13,4,86,56.48,55.58
HOT,140,103.4667,126.9817,140,55.62497,58.49568,57.9225,59.66329,54.71436,57.866,57.61142,59.73912,70.24417,69.69043,69.41255,70.21253,56.04634,55.73803,101.08,11,87,57.02,56.3
HOT,102.6141,105.56,105.56,103.1242,57.1363,60.84716,61.31082,62.1483,56.53089,60.14208,61.31416,62.15274,70.96059,70.58418,70.69538,71.06973,58.54135,57.92766,100.94,11,82,59.9,59
HOT,102.6141,106.0933,105.56,103.1242,57.442,59.95124,59.38754,60.22933,57.1363,59.92516,60.04981,61.20039,71.1134,70.83513,70.951,70.98215,58.23511,58.54135,100.74,8,85,60.26,59.36
COLD,140,109.24,140,140,69.55466,69.72994,71.41464,70.54252,69.86152,69.69057,71.08858,70.22733,71.55903,72.02697,70.03757,70.65311,70.07122,70.98253,99.9,11,95,68.54,67.82
COLD,140,108.72,140,140,70.16221,70.68109,72.04773,71.52929,69.86152,69.39065,71.08858,70.22733,71.20956,71.43328,69.86459,70.30516,70.07122,70.98253,99.9,11,95,68.54,67.82
HOT,140,140.2015,140.1824,140.1824,43.26303,44.52457,49.59492,61.78864,42.94196,42.68642,45.03865,43.79723,69.63996,67.75192,69.2605,70.46808,46.42694,45.48806,101.58,26,70,46.94,44.96
