Classification,lower_north_sp,lower_west_sp,lower_south_sp,lower_east_sp,shroud_north,shroud_west,shroud_south,shroud_east,shroud_north_pst1hr,shroud_west_pst1hr,shroud_south_pst1hr,shroud_east_pst1hr,lower_west_zone,lower_north_zone,lower_east_zone,lower_south_zone,OAT,OAT_pst1hr,pressure_station,wind_speed,relative_humidity,max_air_temp_pst1hr,min_air_temp_pst1hr
COLD,140,140,140,140,49.87538,51.05119,51.12084,51.16623,50.18804,50.4468,50.50348,50.85178,67.14193,67.2962,68.24554,67.87386,51.6297,51.0186,100.79,26,95,53.42,51.98
COLD,140,140,140,140,49.87538,51.05119,51.12084,51.16623,50.18804,50.4468,50.50348,50.85178,67.14193,67.2962,68.24554,67.87386,51.6297,51.0186,100.79,26,95,53.42,51.98
COLD,140,140,140,140,50.18672,51.67272,51.42505,51.81741,49.57443,50.4468,50.50348,50.85178,67.325,67.47724,68.52088,68.14768,51.6297,51.0186,100.79,26,95,53.42,51.98
COLD,140,140,140,140,50.49384,51.98291,51.73013,52.13287,49.57443,50.4468,50.50348,50.85178,67.37476,67.52608,68.51657,68.15438,52.22741,51.0186,100.79,26,95,53.42,51.98
COLD,140,140,140,140,51.112,52.60499,52.34441,53.07862,49.87538,51.35834,51.42505,51.49067,67.59202,67.84844,68.90713,68.35437,52.53234,51.6297,100.76,24,95,54.68,53.42
COLD,140,140,140,140,51.41776,53.20451,52.65469,53.39671,50.49384,51.98291,51.73013,52.13287,67.74539,68.02204,68.95333,68.45086,52.83575,52.22741,100.76,24,95,54.68,53.42
COLD,140,140,140,140,52.02542,54.44261,53.58255,54.0075,51.41776,53.20451,52.65469,53.39671,68.09112,68.40362,69.16282,68.74808,53.45108,52.83575,100.67,30,95,55.4,54.5
COLD,140,140,140,140,52.02542,54.44261,53.58255,54.0075,51.41776,53.20451,52.65469,53.39671,68.09112,68.40362,69.16282,68.74808,53.45108,52.83575,100.67,30,95,55.4,54.5
COLD,140,140,140,140,52.938,54.76327,54.51225,54.6692,51.41776,54.14416,53.58255,53.69894,68.21024,68.45422,69.22997,68.92532,54.0493,52.83575,100.62,24,95,56.3,55.22
COLD,140,140,140,140,54.75934,56.32729,56.38886,56.23583,53.54749,54.76327,54.81182,54.98661,68.52596,68.85436,69.59982,69.22939,55.58775,54.6583,100.51,26,96,57.74,56.12
COLD,140,140,140,140,53.1832,55.04256,55.1813,57.29527,51.96109,53.47068,53.6291,55.30542,67.62253,68.1012,69.04308,68.47198,54.21007,53.60658,101.09,8,87,55.04,54.32
COLD,140,140,140,140,53.80229,55.668,56.10175,58.21301,53.1832,55.04256,55.1813,57.29527,68.2429,68.692,69.57984,68.9712,54.52707,54.21007,101.09,8,86,55.76,55.04
COLD,140,140,131.3242,140,54.71436,57.866,57.61142,59.73912,54.10532,56.94862,56.4014,58.53699,69.02051,69.40742,70.11637,69.52462,55.73803,54.82811,101.13,4,86,56.48,55.58
COLD,134.3704,140,119.4916,140,55.62497,58.49568,57.9225,59.66329,54.71436,57.866,57.61142,59.73912,69.21439,69.56945,70.79122,69.80323,56.04634,55.73803,101.08,11,87,57.02,56.3
COLD,132.2086,140,119.4916,140,55.62497,58.81671,58.2198,60.27309,55.32133,58.17265,57.61142,59.42665,69.27372,69.7032,70.67563,69.831,56.04634,55.73803,101.03,9,85,58.28,56.84
COLD,129.0085,140,122.1537,126.1909,55.92901,60.42665,60.28774,61.26816,55.62497,58.17265,57.9225,59.36443,69.42427,69.82561,70.81248,69.91034,57.00354,55.73803,101.03,9,85,58.28,56.84
HOT,103.4667,128.622,111.3333,140,67.77972,67.7998,71.30849,70.8697,69.55466,69.40788,70.76447,70.23204,70.71872,71.27366,71.38073,70.22039,68.99647,70.07122,100.1,30,74,71.6,67.82
HOT,103.4667,114.7785,124.9867,140,65.22305,65.57773,77.10883,79.34778,70.46021,70.68109,72.04773,71.52929,71.18851,71.45423,71.15863,71.33579,66.63778,68.99647,100.1,30,74,71.6,67.82
HOT,103.4667,114.7785,124.9867,140,65.22305,65.57773,77.10883,79.34778,70.46021,70.68109,72.04773,71.52929,71.18851,71.45423,71.15863,71.33579,66.63778,68.99647,100.1,30,74,71.6,67.82
COLD,117.1067,129.1867,140,116.0667,61.49939,84.39569,80.04151,64.05652,63.65388,80.9429,82.27139,65.70398,72.64606,71.85728,71.81003,72.27296,62.59066,64.75056,100.65,18,48,67.46,64.76
COLD,140,140.6872,140,140.1824,42.64455,43.59327,53.93651,55.12299,42.94196,42.68642,43.98949,43.49872,67.71674,67.87436,69.42539,69.292,45.52823,45.48806,101.58,26,70,46.94,44.96
HOT,128.4894,140.0113,110.3097,140.0768,57.88778,52.79004,51.90627,51.37434,53.95007,50.88004,50.31453,50.18804,69.19281,69.39983,70.5364,70.49206,49.92057,48.95376,101.47,30,75,51.8,51.26
HOT,130.0464,140,119.5014,126.3365,67.1098,68.5094,71.59633,80.29285,64.94341,65.98804,66.57037,65.8652,69.28522,70.47097,71.26376,71.04111,67.77249,65.56425,101.25,0,98,61.88,58.28
HOT,105.3085,140,121.84,110.2933,67.1098,68.49539,80.15407,83.70346,66.17706,67.87583,72.65253,73.93447,69.74007,70.96609,71.58179,71.42881,67.77249,66.86086,101.25,0,98,61.88,58.28
HOT,105.3085,140,121.84,110.2933,67.1098,68.49539,80.15407,83.70346,66.17706,67.87583,72.65253,73.93447,69.74007,70.96609,71.58179,71.42881,67.77249,66.86086,101.23,5,89,64.76,61.88
COLD,104.52,140,109.24,140,67.83803,68.33198,69.49478,70.13222,68.13996,67.70522,68.58278,68.88705,70.56638,70.47226,71.35052,70.40337,69.12512,68.82592,99.29,17,94,68,65.48
COLD,104.52,137.7531,122.8933,117.9167,59.68011,63.17449,62.95561,63.64187,59.99395,62.80952,63.90886,63.57819,71.30569,71.58279,71.92204,71.47073,61.68699,62.32035,99.47,22,64,62.06,61.16
COLD,140,140,100,119.48,44.80079,44.35878,59.93538,56.30258,44.50324,43.0519,45.45503,54.66781,68.66401,68.99088,70.46035,70.2709,47.57994,45.65133,100.1,22,60,48.2,46.22
