Classification,unorth,uwest,usouth,ueast,Shroud North,Shroud West,Shroud South,Shroud East,Lag Shroud North,Lag Shroud West,Lag Shroud South,LagShroud East,uWEST zone,uNORTH zone,uEAST zone,uSOUTH zone,OAT,Lagging OAT,pressure_station,wind_speed,relative_humidity,max_air_temp_pst1hr,min_air_temp_pst1hr
COLD,140.2249,140.0585,140.2441,140.0663,0.930079527,0.993602093,0.977499043,1,0.911070993,0.981593534,0.976680808,1,69.41347,67.70046,66.29578,69.24422,48.76513,47.8353,101.93,22,78,49.28,48.02
COLD,140.2249,140.0585,140.2441,140.0663,0.936185493,0.999763725,0.983692774,1,0.92301888,0.987809553,0.969994582,1,69.41347,67.70911,66.29578,69.27341,48.76513,47.8353,101.93,22,78,49.28,48.02
COLD,140.2249,140.0585,140.2441,140.0663,0.936185493,0.999763725,0.983692774,1,0.92301888,0.987809553,0.969994582,1,69.41347,67.70911,66.29578,69.27341,48.76513,47.8353,101.93,22,78,49.28,48.02
COLD,140.2249,140.0585,140.2441,140.0663,0.936185493,0.999763725,0.983692774,1,0.92301888,0.987809553,0.969994582,1,69.41347,67.70911,66.29578,69.27341,48.76513,47.8353,101.93,22,78,49.28,48.02
COLD,140.2249,135.3031,140.2441,140.0663,0.936267741,1,0.989737251,0.999636299,0.923790108,0.98750019,0.970351477,1,69.41347,67.7329,66.39957,69.29288,48.76513,48.45487,101.93,18,75,50.72,49.28
COLD,140.2249,135.3031,140.2441,140.0663,0.936267741,1,0.989737251,0.999636299,0.923790108,0.98750019,0.970351477,1,69.41347,67.7329,66.39957,69.29288,48.76513,48.45487,101.93,18,75,50.72,49.28
COLD,140.1107,135.3623,140.1202,140.0663,0.930624397,1,0.989784866,0.999910927,0.930079527,0.993602093,0.977499043,1,69.41347,67.76749,66.49753,69.29288,48.76513,48.45487,101.93,18,75,50.72,49.28
COLD,140.1107,135.3623,140.1202,140.0663,0.930624397,1,0.989784866,0.999910927,0.930079527,0.993602093,0.977499043,1,69.41347,67.76749,66.49753,69.29288,48.76513,48.45487,101.93,18,75,50.72,49.28
COLD,140.1107,135.3623,140.1202,140.0663,0.931226898,0.994124001,0.989990678,1,0.930079527,0.993602093,0.977499043,1,69.46249,67.76749,66.86662,69.28207,49.40731,48.76513,101.93,18,75,50.72,49.28
COLD,140.1107,135.3623,140.1202,140.0663,0.931226898,0.994124001,0.989990678,1,0.930079527,0.993602093,0.977499043,1,69.46249,67.76749,66.86662,69.28207,49.40731,48.76513,101.93,18,75,50.72,49.28
